%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=2960232141, 2016/01/13 19:41:57.7)
73 585 4.891576e-02 3.156152e+00  5.719966971472194217e+01  6.530727022367145196e+01  7.650870822736271748e+01  1.146578524468937132e+02
74 593 4.850298e-02 3.348993e+00  5.719966971472194217e+01  6.621630725014732377e+01  7.361719259533609261e+01  7.580951679122858877e+01
75 601 4.740990e-02 3.226874e+00  5.719966971472194217e+01  6.066639756988405452e+01  7.153284417199364498e+01  1.085988144552346029e+02
76 609 4.890806e-02 3.159314e+00  5.719966971472194217e+01  5.832891249381084720e+01  7.023232793184831735e+01  9.123240198314326221e+01
77 617 4.240380e-02 3.181801e+00  5.719966971472194217e+01  6.294230627895831276e+01  6.698370567467298997e+01  8.411834130295721934e+01
78 625 3.279369e-02 3.172630e+00  5.719966971472194217e+01  5.900107506215326225e+01  7.319288003407662302e+01  8.661043440705412877e+01
79 633 2.917853e-02 3.248497e+00  5.719966971472194217e+01  6.048279759538563383e+01  6.978530883419313113e+01  9.392959971838693889e+01
80 641 2.820913e-02 3.371811e+00  5.719966971472194217e+01  5.957154313029848680e+01  6.271629902645442201e+01  8.778366830185782987e+01
81 649 2.666873e-02 3.402234e+00  5.719966971472194217e+01  6.173093070194023824e+01  6.752860392074535412e+01  7.880917020290661412e+01
82 657 2.230538e-02 3.332977e+00  5.719966971472194217e+01  5.940097141819897786e+01  6.282899742929697595e+01  6.840898769610271302e+01
83 665 2.216522e-02 3.676396e+00  5.719966971472194217e+01  5.981044714800617612e+01  6.171581161564537865e+01  6.465808831339751350e+01
84 673 2.178703e-02 4.009853e+00  5.719966971472194217e+01  5.938999652284682185e+01  6.080069424558651292e+01  6.826417490207418837e+01
85 681 1.795782e-02 4.019856e+00  5.719966971472194217e+01  5.860715505378856705e+01  6.159058473501289654e+01  6.519908539658101176e+01
86 689 1.635308e-02 3.954267e+00  5.719966971472194217e+01  5.858283449794311792e+01  5.965790196835601478e+01  6.311925296013023967e+01
87 697 1.537040e-02 3.791293e+00  5.719966971472194217e+01  5.813143796832451216e+01  5.892150661963164282e+01  6.290687028831612793e+01
